Date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1M 2010,50.71,50.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2010,50.66,50.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2010,50.82,50.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2010,50.88,50.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2010,51.02,50.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2010,50.86,50.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2010,50.98,50.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2010,51.13,50.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2010,51.17,51.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2010,51.36,51.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2010,51.46,51.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2010,51.52,51.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2011,#N/A,51.69,51.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2011,#N/A,51.78,51.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2011,#N/A,51.75,51.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2011,#N/A,52.17,52.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2011,#N/A,52.34,52.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2011,#N/A,52.28,52.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2011,#N/A,52.29,53.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2011,#N/A,52.28,53.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2011,#N/A,52.28,53.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2011,#N/A,52.27,53.11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2011,#N/A,52.45,53.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2011,#N/A,52.16,53.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2012,#N/A,#N/A,52.76,53.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2012,#N/A,#N/A,52.54,53.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2012,#N/A,#N/A,52.46,53.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2012,#N/A,#N/A,52.67,53.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2012,#N/A,#N/A,52.6,53.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2012,#N/A,#N/A,52.72,53.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2012,#N/A,#N/A,52.66,53.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2012,#N/A,#N/A,52.54,53.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2012,#N/A,#N/A,52.49,53.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2012,#N/A,#N/A,52.53,53.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2012,#N/A,#N/A,52.41,53.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2012,#N/A,#N/A,52.5,53.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2013,#N/A,#N/A,#N/A,53.89,55.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2013,#N/A,#N/A,#N/A,53.66,55.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2013,#N/A,#N/A,#N/A,53.8,55.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2013,#N/A,#N/A,#N/A,53.77,55.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2013,#N/A,#N/A,#N/A,53.85,55.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2013,#N/A,#N/A,#N/A,53.91,55.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2013,#N/A,#N/A,#N/A,53.94,55.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2013,#N/A,#N/A,#N/A,53.99,55.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2013,#N/A,#N/A,#N/A,54.3,55.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2013,#N/A,#N/A,#N/A,54.22,55.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2013,#N/A,#N/A,#N/A,54.22,55.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2013,#N/A,#N/A,#N/A,54.16,55.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2014,#N/A,#N/A,#N/A,#N/A,56.07,57.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2014,#N/A,#N/A,#N/A,#N/A,55.96,57.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2014,#N/A,#N/A,#N/A,#N/A,55.8,57.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2014,#N/A,#N/A,#N/A,#N/A,55.64,56.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2014,#N/A,#N/A,#N/A,#N/A,55.58,56.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2014,#N/A,#N/A,#N/A,#N/A,55.66,56.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2014,#N/A,#N/A,#N/A,#N/A,55.84,56.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2014,#N/A,#N/A,#N/A,#N/A,55.81,56.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2014,#N/A,#N/A,#N/A,#N/A,55.91,57.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2014,#N/A,#N/A,#N/A,#N/A,55.98,57.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2014,#N/A,#N/A,#N/A,#N/A,55.98,57.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2014,#N/A,#N/A,#N/A,#N/A,56,56.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,56.84,57.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,57.27,58.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,57.58,58.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,57.39,57.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,57.56,57.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.16,58.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.37,58.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.38,58.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.41,58.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.24,58.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.07,57.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2015,#N/A,#N/A,#N/A,#N/A,#N/A,58.1,57.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.77,56.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.87,56.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.19,56.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.16,56.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.9,56.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.04,56.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.78,56.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.82,56.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.98,56.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.84,56.94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.88,57.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2016,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.85,57.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.26,57.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.48,59.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.71,59.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.8,59.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.04,60.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.08,60.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.89,60.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.98,60.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.8,60.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.42,60.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.69,60.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.66,60.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.69,61.98,#N/A,#N/A,#N/A,#N/A,#N/A
2M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.04,62.31,#N/A,#N/A,#N/A,#N/A,#N/A
3M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.18,62.37,#N/A,#N/A,#N/A,#N/A,#N/A
4M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.23,62.7,#N/A,#N/A,#N/A,#N/A,#N/A
5M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.23,63.13,#N/A,#N/A,#N/A,#N/A,#N/A
6M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.24,63,#N/A,#N/A,#N/A,#N/A,#N/A
7M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.33,63.6,#N/A,#N/A,#N/A,#N/A,#N/A
8M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.68,62.95,#N/A,#N/A,#N/A,#N/A,#N/A
9M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.7,62.7,#N/A,#N/A,#N/A,#N/A,#N/A
10M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.83,63.1,#N/A,#N/A,#N/A,#N/A,#N/A
11M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.98,63.36,#N/A,#N/A,#N/A,#N/A,#N/A
12M 2018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.2,63.52,#N/A,#N/A,#N/A,#N/A,#N/A
1M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.54,67.44,#N/A,#N/A,#N/A,#N/A
2M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.79,67.92,#N/A,#N/A,#N/A,#N/A
3M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.62,67.69,#N/A,#N/A,#N/A,#N/A
4M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.6,67.75,#N/A,#N/A,#N/A,#N/A
5M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.69,68.16,#N/A,#N/A,#N/A,#N/A
6M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.53,68.09,#N/A,#N/A,#N/A,#N/A
7M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.66,67.78,#N/A,#N/A,#N/A,#N/A
8M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.57,67.82,#N/A,#N/A,#N/A,#N/A
9M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.68,67.89,#N/A,#N/A,#N/A,#N/A
10M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.59,67.78,#N/A,#N/A,#N/A,#N/A
11M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.65,68.02,#N/A,#N/A,#N/A,#N/A
12M 2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.61,67.94,#N/A,#N/A,#N/A,#N/A
1M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.13,69.01,#N/A,#N/A,#N/A
2M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.98,68.78,#N/A,#N/A,#N/A
3M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.95,67.98,#N/A,#N/A,#N/A
4M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.68,65.88,#N/A,#N/A,#N/A
5M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.61,64.38,#N/A,#N/A,#N/A
6M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.42,64.25,#N/A,#N/A,#N/A
7M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.74,64.85,#N/A,#N/A,#N/A
8M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.61,65.28,#N/A,#N/A,#N/A
9M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.84,65.37,#N/A,#N/A,#N/A
10M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.81,65.09,#N/A,#N/A,#N/A
11M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.74,64.88,#N/A,#N/A,#N/A
12M 2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.67,64.89,#N/A,#N/A,#N/A
1M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.89,67.16,#N/A,#N/A
2M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.03,67.3,#N/A,#N/A
3M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.18,67.94,#N/A,#N/A
4M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.85,67.78,#N/A,#N/A
5M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.5,67.4,#N/A,#N/A
6M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.68,67.63,#N/A,#N/A
7M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.56,67.66,#N/A,#N/A
8M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.57,67.61,#N/A,#N/A
9M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.39,67.57,#N/A,#N/A
10M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.15,67.43,#N/A,#N/A
11M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.29,67.52,#N/A,#N/A
12M 2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64,67.03,#N/A,#N/A
1M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.77,68.42,#N/A
2M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.23,68.94,#N/A
3M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.56,68.31,#N/A
4M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.91,67.36,#N/A
5M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.44,66.56,#N/A
6M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.78,67.15,#N/A
7M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.16,66.71,#N/A
8M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.23,66.79,#N/A
9M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.98,66.79,#N/A
10M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.82,66.36,#N/A
11M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.84,66.3,#N/A
12M 2022,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.87,66.54,#N/A
1M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.77,67.81
2M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.02,67.85
3M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.42,68.27
4M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.61,68.6
5M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.58,68.57
6M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.83,68.76
7M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.66,68.62
8M 2023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.82,69.05
